Oxylipin,Class,Parent FA,Enzyme ,D229,D360,D384,D391,D75,D274,D34,D356,D368,D370
5-KETE-To-F,Ketones,AA,LOX,4.25,17.8,2.13,3.63,7.6,1.65,10.2,2.57,1.62,11.1
5-KETE-To-PP,Ketones,AA,LOX,2.26,2.58,2.65,0.8,1.9,1.63,1.42,2.7,5.01,5.05
12(13)-Ep-9-KODE-NE-F,Ketones,LA,LOX,3.34,1.47,2.95,0.422,2.4,0.214,0.534,4.13,0.502,0.344
12(13)-Ep-9-KODE-NE-PP,Ketones,LA,LOX,1.2,0.762,0.699,0.971,1.08,1.08,1.51,1.03,0.899,2.13
12(13)-Ep-9-KODE-To-F,Ketones,LA,LOX,39.2,148,28.6,38.6,46.5,22.3,53.9,18.3,20.6,65.5
12(13)-Ep-9-KODE-To-PP,Ketones,LA,CYP ,25.7,24.2,39,12.3,16.5,24.1,14.6,24,53.6,35.4
13-KODE-NE-F,Ketones,LA,LOX,2.11,3.77,3.91,0.799,9.47,0.547,1.21,8.11,2.77,1.15
13-KODE-NE-PP,Ketones,LA,LOX,3.94,4.83,4.33,2.77,2.14,4.88,10.5,5.11,1.43,5.58
13-KODE-To-F,Ketones,LA,LOX,99.3,374,75.2,97.5,117,69.7,135,49.4,48.7,177
13-KODE-To-PP,Ketones,LA,LOX,57.5,60.6,108,32.4,40.9,60.1,41.6,57.6,149,93.9
9-KODE-NE-F,Ketones,LA,LOX,5.67,8.78,11.1,2.25,8,2.06,6.32,16.6,3.39,2.22
9-KODE-NE-PP,Ketones,LA,LOX,10,14.1,14.4,11.4,7.58,11.2,20.4,13.2,6.29,11.7
9-KODE-To-F,Ketones,LA,LOX,187,881,147,199,243,137,296,100,99.2,382
9-KODE-To-PP,Ketones,LA,LOX,128,140,226,62.2,83.1,127,88.8,119,287,208
6-keto PGF1a-NE-F,Prostaglandins,AA,COX,0.418,0.696,0.653,0.287,0.39,0.282,0.275,0.198,0.341,0.444
6-keto PGF1a-NE-PP,Prostaglandins,AA,COX,0.432,0.43,0.168,0.383,0.444,0.416,0.207,0.387,0.309,0.533
6-keto PGF1a-To-F,Prostaglandins,AA,COX,0.322,0.773,0.61,0.314,0.423,0.307,0.32,0.389,0.324,0.316
6-keto PGF1a-To-PP,Prostaglandins,AA,COX,0.4,0.379,0.309,0.347,0.507,0.371,0.402,0.312,0.482,0.345
F2-isoPs-NE-PP,Prostaglandins,AA,COX,0.293,0.235,1.7977,0.264,,0.317,0.084,0.2729,0.508,
