"Name","fa","grp"
"Per--C183n6-NEFA","0.427311997323994","0.382931439463449"
"Per-C200","0.0306979388016335","0.218551219679503"
"C150-NEFA","0.313556160321661","0.0460398159473374"
"C181n7-NEFA","0.199962503199288","0.169780768193747"
"C140-NEFA","0.944755024243404","0.0636185040496342"
"12-HETE-To","0.654378737282469","0.504973948997363"
"C183n6-NEFA","0.153952337638616","0.62247235613265"
"C170","0.425256909168544","0.439295163330566"
"Per-C204n6 AA","0.00956203540568067","0.660149097472435"
"Sum-n-6 PUFA-NEFA","0.994907929965637","0.401934025111116"
"Sum-n-6/Sum-n-3","0.00322214651082504","0.641824127669194"
"15-KETE-To","0.636544942729074","0.101914938591311"
"C182n6-NEFA","0.812404503092396","0.407404140167756"
"C183n3-NEFA","0.711829191293042","0.491002379046955"
