Metabolite,PP-F D229,PP-F D360,PP-F D384,PP-F D391,PP-F D75,PP-F D274,PP-F D34,PP-F D356,PP-F D368,PP-F D370,PP/F D229,PP/F D360,PP/F D384,PP/F D391,PP/F D75,PP/F D274,PP/F D34,PP/F D356,PP/F D368,PP/F D370
13-HOTE-NE,5.37,5.89,5.44,3.01,-3.0,6.03,7.53,2.57,3.47,3.21,6.59375,3.1496350365,2.11934156379,3.55084745763,0.408284023669,61.3,5.16022099448,1.63300492611,2.44583333333,1.45922746781
C18:3n6,-7.93,-261.77,-5.79,-19.68,-5.6,-20.43,-93.97,-4.78,10.79,-116.03,0.574113856069,0.121105291432,0.768677586896,0.266219239374,0.875527895088,0.482522796353,0.193182793852,0.824780058651,1.74005486968,0.360046329491
C17:0-NEFA,-0.08,0.12,-0.18,0.26,-1.1,0.52,-0.15,-0.12,-0.03,0.04,0.854545454545,1.6,0.689655172414,1.96296296296,0.299363057325,2.26829268293,0.788732394366,0.828571428571,0.943396226415,1.09302325581
C22:5n3-NEFA,-0.23,0.04,-1.03,0.16,-1.35,-0.05,-0.3,0.17,-0.67,0.14,0.178571428571,3.0,0.141666666667,3.0,0.140127388535,0.933333333333,0.545454545455,1.80952380952,0.229885057471,2.16666666667
C18:3n3,-14.28,-606.23,-12.13,-76.06,-38.85,-59.24,-293.28,-0.47,83.7,-159.98,0.827097711587,0.12317216043,0.91663803175,0.317908707739,0.637085474078,0.502352150538,0.25442342892,0.993715737398,1.94118969976,0.472169982513
C18:1n9-NEFA,1.94,11.88,-41.11,27.99,-80.61,51.07,-13.53,73.97,-34.56,7.27,1.0719051149,1.95421686747,0.375607533414,2.9356846473,0.250348739887,2.47986090988,0.744572399471,5.23169336384,0.399791594304,1.57019607843
%C18:3n6,-0.0694,-0.2018,-0.11,-0.092,0.2013,-0.1624,-0.0713,-0.1008,-0.0302,-0.0989,0.70593220339,0.721655172414,0.614035087719,0.727002967359,1.76832061069,0.688291746641,0.789053254438,0.787341772152,0.854807692308,0.837602627258
C20:3n6,-6.55,-372.46,-18.36,-38.92,-27.26,-25.2,-150.22,-12.36,34.54,-154.37,0.760161113145,0.108542160312,0.685508735868,0.203927183473,0.557682946617,0.56242403195,0.16129752666,0.709654686399,1.82081749049,0.359194686592
C16:1n7t-NEFA,-0.05,0.04,-1.39,0.4,-4.26,1.04,-0.97,0.4,-1.01,0.04,0.965753424658,1.02702702703,0.45703125,1.25157232704,0.276740237691,1.49289099526,0.615079365079,1.17467248908,0.657627118644,1.02985074627
C18:2n6,-402.94,-10010.56,192.87,-917.22,-881.27,-600.77,-3893.73,-70.72,1735.17,-4528.7,0.786271608082,0.135425699135,1.09234503826,0.373419407726,0.596796405679,0.661131385832,0.24394619879,0.949315559378,1.9483046957,0.395984880616
_ (n-6) PUFA,-475.67,-12306.53,128.47,-1170.12,-1213.37,-721.82,-5012.23,-129.42,2007.09,-5644.86,0.788434082185,0.134253820276,1.05150254165,0.354491341693,0.578465568394,0.656439790576,0.228741746515,0.925477640989,1.93963567927,0.39498981264
_ MUFA-NEFA,1.28,13.03,-49.8,31.17,-97.56,58.43,-17.72,81.41,-43.58,7.74,1.03946962689,1.77009456265,0.378432351473,2.63108320251,0.246116992504,2.40288115246,0.720988820658,4.66216824112,0.397483755012,1.42527472527
C22:5n3 (DPA),-10.48,-261.7,-17.11,-30.05,-14.49,-26.87,-134.01,-8.59,15.95,-87.03,0.71529475686,0.0947142659471,0.551507208388,0.281959378734,0.609117885082,0.390702947846,0.134749483471,0.647227926078,1.52622896734,0.339330448645
_ (n-6)/_ (n-3) -NEFA,-0.75,-0.61,0.84,2.1,-1.32,1.74,-0.59,5.52,-0.01,0.82,0.892703862661,0.872384937238,1.27722772277,1.49528301887,0.798473282443,1.34661354582,0.928311057108,3.34893617021,0.997354497354,1.31297709924
C16:1n7t,-10.45,-255.34,5.6,-49.28,-21.98,-15.2,-111.53,-6.14,30.08,-127.82,0.73280490923,0.142837960321,1.11983736358,0.240209682393,0.696157036218,0.687564234327,0.22430101544,0.853670162059,1.60866046135,0.369319583559
%-C20:4n6-NEFA,-0.523,-0.333,-1.622,-0.023,-2.245,0.233,-2.077,0.347,-0.433,-2.111,0.603787878788,0.74463190184,0.323038397329,0.976767676768,0.304091754495,1.27904191617,0.376463524467,1.72746331237,0.33281972265,0.416850828729
C18:1n7,-20.14,-634.52,48.88,-93.73,-108.73,-44.87,-332.47,5.07,123.15,-271.53,0.841454774463,0.171580019323,1.3064768951,0.388345079614,0.580985779799,0.673482753602,0.289700258508,1.04715401786,1.92136764926,0.442718167638
C20:4n6 (AA),-54.46,-1504.58,-48.25,-175.78,-275.18,-66.7,-776.22,-40.32,196.48,-772.71,0.811400470979,0.129319174792,0.827382655982,0.252031828433,0.478746779815,0.664030625094,0.16414149572,0.832132894792,1.88792480116,0.394389930403
9-HEPE-To,-0.35,-8.04,0.28,-1.13,-1.85,-0.52,-4.95,-0.16,1.8,0.05,0.75,0.12131147541,1.4375,0.187050359712,0.383333333333,0.751196172249,0.305750350631,0.827956989247,3.06896551724,1.03424657534
C22:4n6,-3.03,-65.42,-4.79,-6.34,-7.31,-1.48,-35.0,-5.45,8.34,-36.2,0.778993435449,0.169691585227,0.733444629939,0.570169491525,0.631738035264,0.869718309859,0.226519337017,0.649066323245,1.89007470651,0.445125689761
C20:2n6,-0.76,-77.32,15.0,-5.89,-3.78,-1.79,-40.86,5.02,19.54,-26.35,0.942684766214,0.197592361976,1.7299270073,0.624362244898,0.829191143244,0.880026809651,0.255059252507,1.38734567901,2.11022727273,0.509584961846
%C18:1n9,1.5044,3.2847,3.835,1.086,2.734,0.0251,-0.9661,0.6556,2.0417,-0.1315,1.05260875647,1.12845410817,1.12896391701,1.03418534374,1.10812307206,1.00084540249,0.968863607065,1.02260066189,1.07989434553,0.995695862791
%_ (n-6) PUFA,-0.9239,-7.3566,-5.0084,-0.9515,3.0372,-2.2186,-1.1723,-3.5972,-1.4629,-2.4135,0.968787162162,0.797171215881,0.833497340426,0.960698058653,1.17505475504,0.924305697714,0.941326326326,0.88576691013,0.953866288237,0.925347974018
%-C16:1n7t-NEFA,0.123,-0.642,0.225,-0.957,0.358,-0.5,-0.117,-1.777,0.552,-0.094,1.09117865085,0.752981916122,1.22796352584,0.607465135357,1.25626342162,0.701848539058,0.905721192587,0.399662162162,1.29934924078,0.944444444444
%C16:1n7t,-0.0505,-0.1078,-0.056,-0.2817,0.1723,-0.0123,-0.0347,-0.1349,-0.1468,-0.0951,0.898390342052,0.851310344828,0.894736842105,0.654779411765,1.41023809524,0.980841121495,0.916786570743,0.814951989026,0.791477272727,0.860147058824
