Oxylipin,Name,Parent FA,Pathway,Correlation,P-Value,Anti-Athero Mean,Pro-Athero Mean,Anti- St Dev,Pro -St Dev
12-HpETE %-To-PP,,,,0.4685578647483313,0.03054422322449335,23.872000000000003,64.68,23.605035903382984,25.568085575576433
13-KODE-To-PP,,,,0.47783104632951084,0.04317672782784671,150.8,196.4,17.93599732381784,38.51363394955094
15-HpETE %-To-PP,,,,0.49491243024686415,0.03404368430815516,109.43999999999998,297.8,116.58260161790868,116.7784226644631
C20:4n6 (AA)-PP,,,,0.500798835814904,0.03249577150337516,1094.3214849903213,1425.4402389190484,216.58187906943368,187.87504144866833
C18:3n6-PP,,,,0.5027506377911709,0.020461854510319316,48.47813215059848,108.13017294630181,16.047254251610735,43.41860651596162
C22:4n6-PP,,,,0.5187693222307838,0.04258042540725995,21.57862679934821,35.63680729835832,5.91325768941697,11.632810898432332
9-HpODE %-To-PP,,,,0.5232167724016694,0.023733790720684003,224.74000000000004,705.6,213.00830500241062,321.9717378901449
C20:3n6-PP,,,,0.5327403382154289,0.035243667997211875,132.17142342513046,233.88735992351562,18.262109036946192,74.08126218718618
13-HpODE %-To-PP,,,,0.5342546089679857,0.020838688040535274,65.24,190.14,58.9597574621877,77.42963257048304
 
Tofa-F
C18:0/C16:0-F,,,,-0.7530591281159457,0.01720660689362579,0.2766794937312122,0.2286777620393566,0.031556739101170676,0.016990682746842525
%C20:4n6 (AA)-F,,,,-0.7237367829288157,0.01559162964798948,10.022012032699896,7.85530359552323,0.6729414777555868,1.4333959205478854
%C19:0-F,,,,-0.6417612291201895,0.03229974882595555,0.022244265368146852,0.014926202290248632,0.004361306619155865,0.004583841074035875
C18:0-F,,,,0.549803865750301,0.09732460002389355,634.4267933895309,928.9219972936131,47.215242071640375,305.8629137358635
%C16:1n7t-F,,,,0.5516357266505759,0.02564512424519481,0.2885370224064148,0.41594646937948443,0.034217791236183064,0.09838466880850515
15-KETE-To-F,,,,0.5591141114007013,0.04429665839045875,8.657999999999998,11.133999999999999,1.8497080850772172,1.4049128086824683
16(17)-EpDPE-To-F,,,,0.5649981987231293,0.3657103917103769,12.919999999999998,15.956,2.6873779042032897,6.550166410099822
9(10)-EpODE-To-F,,,,0.5667226837094648,0.10647897899249338,15.344,22.26,4.028980019806504,7.488524554276362
C16:1n7-F,,,,0.5894054749567418,0.019394866354228293,160.01815519623705,369.5048566686895,53.82091248794481,151.32625357821834
14_15-DiHETE-To-F,,,,0.6085569023605427,0.07017125471671763,0.7086,1.3588,0.3349355161818466,0.6102353644291684
C18:1n9/C18:0-F,,,,0.6098922970019024,0.011330987248648448,2.650928314889419,3.583776030779512,0.39366651092631816,0.50156195602053
C22:6n3 (DHA)-F,,,,0.610263312130005,0.10984143045842416,186.6559913833393,292.085000280351,48.9970445451845,121.59494075206591
